"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 19 12:06:32 CST 2020","Thu Mar 19 12:06:32 CST 2020","65","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptList[userId=-abc-userId错误]","
        钉钉-获取当前登录人部门列表
        "
"passed","Thu Mar 19 12:06:26 CST 2020","Thu Mar 19 12:06:27 CST 2020","104","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleStaffList[roleId=-795365520]","
        钉钉-获取角色下员工列表
        "
"passed","Thu Mar 19 12:06:27 CST 2020","Thu Mar 19 12:06:27 CST 2020","110","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleDetail[roleId=-795365516]","
        钉钉-获取角色详情
        "
"passed","Thu Mar 19 12:06:26 CST 2020","Thu Mar 19 12:06:26 CST 2020","119","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleStaffList[roleId=-795365530]","
        钉钉-获取角色下员工列表
        "
"passed","Thu Mar 19 12:06:25 CST 2020","Thu Mar 19 12:06:25 CST 2020","189","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptDetail[deptId=-242129987]","
        钉钉-获取部门详情
        "
"passed","Thu Mar 19 12:06:27 CST 2020","Thu Mar 19 12:06:27 CST 2020","181","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleDetail[roleId=-795365519]","
        钉钉-获取角色详情
        "
"passed","Thu Mar 19 12:06:25 CST 2020","Thu Mar 19 12:06:25 CST 2020","96","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptDetail[deptId=-24]","
        钉钉-获取部门详情
        "
"passed","Thu Mar 19 12:06:25 CST 2020","Thu Mar 19 12:06:25 CST 2020","95","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dindDingDeptMember[deptId=-24]","
        钉钉-获取部门下用户列表
        "
"passed","Thu Mar 19 12:06:32 CST 2020","Thu Mar 19 12:06:32 CST 2020","357","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptList[userId=-061052015035430487-id为谢玉霞]","
        钉钉-获取当前登录人部门列表
        "
"passed","Thu Mar 19 12:06:27 CST 2020","Thu Mar 19 12:06:28 CST 2020","96","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleList","
        钉钉-获取角色列表
        "
"passed","Thu Mar 19 12:06:25 CST 2020","Thu Mar 19 12:06:25 CST 2020","99","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptDetail[deptId=-]","
        钉钉-获取部门详情
        "
"passed","Thu Mar 19 12:06:31 CST 2020","Thu Mar 19 12:06:34 CST 2020","2545","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptUserList[deptName=-城市招商部]","
        钉钉-获取部门下所有员工
        "
"passed","Thu Mar 19 12:06:28 CST 2020","Thu Mar 19 12:06:28 CST 2020","143","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptUserList[deptName=-宁波战团]","
        钉钉-获取部门下所有员工
        "
"passed","Thu Mar 19 12:06:29 CST 2020","Thu Mar 19 12:06:29 CST 2020","137","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingUserList[userId=--userId为空]","
        钉钉-获取当前用户下所有员工
        "
"passed","Thu Mar 19 12:06:25 CST 2020","Thu Mar 19 12:06:25 CST 2020","179","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dindDingDeptMember[deptId=-241951934]","
        钉钉-获取部门下用户列表
        "
"passed","Thu Mar 19 12:06:27 CST 2020","Thu Mar 19 12:06:27 CST 2020","154","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleDetail[roleId=-795365528]","
        钉钉-获取角色详情
        "
"passed","Thu Mar 19 12:06:26 CST 2020","Thu Mar 19 12:06:26 CST 2020","100","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dindDingDeptMember[deptId=-242044930]","
        钉钉-获取部门下用户列表
        "
"passed","Thu Mar 19 12:06:26 CST 2020","Thu Mar 19 12:06:26 CST 2020","178","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleStaffList[roleId=-7953655071]","
        钉钉-获取角色下员工列表
        "
